CPU User Time (s),CPU System Time (s),Memory Used (MiB),Memory Total (MiB),GPU Usage (%),GPU Memory Used (MiB),GPU Memory Total (MiB)
31617.36,10607.39,6260.30859375,15752.23046875,9,54,6144
31621.38,10608.27,6467.26171875,15752.23046875,11,54,6144
31626.76,10609.23,6502.12109375,15752.23046875,18,54,6144
31632.45,10610.36,6450.2890625,15752.23046875,11,54,6144
31637.65,10611.27,6540.734375,15752.23046875,28,54,6144
31643.34,10612.34,6544.5625,15752.23046875,11,54,6144
31649.51,10613.56,6442.83203125,15752.23046875,14,54,6144
31654.69,10614.7,6381.703125,15752.23046875,6,54,6144
31659.86,10615.64,6422.078125,15752.23046875,24,54,6144
31665.3,10616.64,6547.0859375,15752.23046875,33,54,6144
31671.0,10617.69,6501.02734375,15752.23046875,36,54,6144
31675.95,10618.69,6515.69921875,15752.23046875,24,54,6144
31682.45,10619.86,6445.0,15752.23046875,7,54,6144
31687.67,10620.84,6434.390625,15752.23046875,13,54,6144
31693.01,10621.84,6482.84765625,15752.23046875,11,54,6144
31697.14,10622.57,6427.11328125,15752.23046875,13,54,6144
31699.21,10622.94,6375.95703125,15752.23046875,10,54,6144
31700.25,10623.16,6377.0234375,15752.23046875,12,54,6144
31701.16,10623.4,6360.3828125,15752.23046875,9,54,6144
31702.06,10623.72,6390.42578125,15752.23046875,5,54,6144
31703.31,10624.5,6808.56640625,15752.23046875,3,54,6144
31704.46,10625.17,6807.109375,15752.23046875,11,54,6144
31705.67,10625.85,6923.328125,15752.23046875,15,54,6144
31706.77,10626.48,6981.76171875,15752.23046875,10,54,6144
31707.72,10627.16,7001.26953125,15752.23046875,5,54,6144
31709.05,10628.09,7037.03515625,15752.23046875,16,54,6144
31710.97,10628.89,7183.22265625,15752.23046875,45,54,6144
31712.64,10629.47,7307.05078125,15752.23046875,18,54,6144
31714.3,10630.21,7029.296875,15752.23046875,17,54,6144
31717.92,10630.99,7315.26171875,15752.23046875,37,54,6144
31720.49,10631.6,7465.99609375,15752.23046875,34,54,6144
31722.04,10632.16,7549.5234375,15752.23046875,26,54,6144
31724.75,10632.88,7484.37890625,15752.23046875,31,54,6144
31727.5,10633.56,7567.5390625,15752.23046875,28,54,6144
31732.11,10634.89,7934.14453125,15752.23046875,24,54,6144
31737.31,10636.46,8172.37109375,15752.23046875,39,54,6144
31741.84,10638.49,8743.2578125,15752.23046875,36,54,6144
31748.54,10640.97,9076.27734375,15752.23046875,20,54,6144
31753.52,10643.01,9406.515625,15752.23046875,15,54,6144
31759.18,10644.76,9664.609375,15752.23046875,12,54,6144
31764.84,10646.64,9696.49609375,15752.23046875,31,54,6144
31771.0,10648.31,9905.87890625,15752.23046875,38,54,6144
31775.81,10649.75,9960.6875,15752.23046875,20,54,6144
31781.0,10651.37,10156.94140625,15752.23046875,3,54,6144
31786.03,10653.52,10496.39453125,15752.23046875,11,54,6144
31791.88,10655.57,10748.515625,15752.23046875,22,54,6144
31798.7,10657.49,10923.7265625,15752.23046875,37,54,6144
31806.83,10659.56,10862.37109375,15752.23046875,26,54,6144
31814.29,10661.89,11091.4140625,15752.23046875,25,54,6144
31822.72,10664.29,11256.04296875,15752.23046875,23,54,6144
31830.23,10666.85,11523.82421875,15752.23046875,32,54,6144
31835.97,10669.97,11758.6328125,15752.23046875,23,54,6144
31841.64,10672.95,11833.71875,15752.23046875,6,54,6144
31846.89,10676.77,11769.93359375,15752.23046875,13,54,6144
31853.43,10679.34,11899.0078125,15752.23046875,10,54,6144
31859.71,10681.98,11994.10546875,15752.23046875,14,54,6144
31865.8,10685.47,12155.33984375,15752.23046875,11,54,6144
31870.81,10688.92,12175.02734375,15752.23046875,21,54,6144
31876.99,10692.2,12281.34765625,15752.23046875,10,54,6144
31884.12,10695.01,12048.5078125,15752.23046875,12,54,6144
31891.82,10697.38,11418.3203125,15752.23046875,17,54,6144
31900.86,10699.32,11640.5078125,15752.23046875,6,54,6144
31908.54,10701.3,11763.93359375,15752.23046875,9,54,6144
31915.41,10703.14,10638.6875,15752.23046875,5,54,6144
31923.96,10705.28,11353.55859375,15752.23046875,13,54,6144
31932.06,10707.51,11408.59375,15752.23046875,16,54,6144
31939.98,10709.62,11489.890625,15752.23046875,19,54,6144
31947.97,10711.75,11591.92578125,15752.23046875,10,54,6144
31956.41,10713.79,11660.609375,15752.23046875,16,54,6144
31965.48,10715.99,11607.91796875,15752.23046875,13,54,6144
31974.21,10718.0,11765.78515625,15752.23046875,7,54,6144
31982.99,10720.01,11613.828125,15752.23046875,5,54,6144
31990.54,10722.19,11819.8046875,15752.23046875,3,54,6144
31998.72,10724.44,11940.625,15752.23046875,5,54,6144
32008.25,10726.98,11978.83984375,15752.23046875,3,54,6144
32016.62,10729.47,11918.45703125,15752.23046875,34,54,6144
32026.03,10731.6,11489.27734375,15752.23046875,35,54,6144
32035.61,10733.66,11757.328125,15752.23046875,23,54,6144
32045.91,10735.3,11122.3671875,15752.23046875,31,54,6144
32055.35,10736.77,11432.06640625,15752.23046875,30,54,6144
32065.36,10738.49,10793.390625,15752.23046875,29,54,6144
32075.45,10740.33,10988.5,15752.23046875,30,54,6144
32085.67,10742.2,11256.609375,15752.23046875,30,54,6144
